rank_seq,rank,brand,model,count,series_url,brand_conf,series_conf,title_raw,brand_ja,model_ja
192,192,大众ID,.3,,,0.70,0.70,大众ID.3,,
193,193,魏牌,蓝山,,,0.70,0.70,魏牌 蓝山,,
194,194,马自达EZ,-6,,,0.70,0.70,马自达EZ-6,,
195,195,传祺E,8新能源,,,0.70,0.70,传祺E8新能源,,
196,196,e,π008,,,0.70,0.70,eπ008,,
197,197,哈弗猛龙燃,油,,,0.70,0.70,哈弗猛龙燃油,,
198,198,北京越野BJ,40,,,0.70,0.70,北京越野BJ40,,
199,199,凯迪拉克CT,5,,,0.70,0.70,凯迪拉克CT5,,
200,200,理想L,8,,,0.70,0.70,理想L8,,
201,201,深蓝L,07,,,0.70,0.70,深蓝L07,,
202,202,奔驰GL,B,,,0.70,0.70,奔驰GLB,,
203,203,奥迪Q,3,,,0.70,0.70,奥迪Q3,,
204,204,捷达VA,3,,,0.70,0.70,捷达VA3,,
205,205,坦克,300新能源,,,0.70,0.70,坦克300新能源,,
206,206,吉利ICO,N,,,0.70,0.70,吉利ICON,,
207,207,深蓝S,09,,,0.70,0.70,深蓝S09,,
208,208,红旗H5,PHEV,,,0.70,0.70,红旗H5 PHEV,,
209,209,揽,巡,,,0.70,0.70,揽巡,,
210,210,智己L,6,,,0.70,0.70,智己L6,,
211,211,海狮05,DM-i,,,0.70,0.70,海狮05 DM-i,,
212,212,领克Z,20,,,0.70,0.70,领克Z20,,
213,213,新海狮X30L,CNG,,,0.70,0.70,新海狮X30L CNG,,
214,214,领克08,EM-P,,,0.70,0.70,领克08 EM-P,,
215,215,深蓝SL,03,,,0.70,0.70,深蓝SL03,,
216,216,捷途山海T,1,,,0.70,0.70,捷途山海T1,,
217,217,马自达CX,-5,,,0.70,0.70,马自达CX-5,,
218,218,沃尔沃S,60,,,0.70,0.70,沃尔沃S60,,
219,219,理想i,8,,,0.70,0.70,理想i8,,
220,220,汉,L,,,0.70,0.70,汉L,,
221,221,e,π007,,,0.70,0.70,eπ007,,
222,222,艾瑞泽,5,,,0.70,0.70,艾瑞泽5,,
223,223,江,豚,,,0.70,0.70,江豚,,
224,224,捷达VS,7,,,0.70,0.70,捷达VS7,,
225,225,极狐,考拉,,,0.70,0.70,极狐 考拉,,
226,226,长安启源A,05,,,0.70,0.70,长安启源A05,,
227,227,奕,跑,,,0.70,0.70,奕跑,,
228,228,五菱荣,光,,,0.70,0.70,五菱荣光,,
229,229,领克,03,,,0.70,0.70,领克03,,
230,230,途,胜,,,0.70,0.70,途胜,,
231,231,海豹07,DM-i,,,0.70,0.70,海豹07 DM-i,,
232,232,腾势N,9,,,0.70,0.70,腾势N9,,
233,233,丰田bZ,5,,,0.70,0.70,丰田bZ5,,
234,234,smart精灵,#1,,,0.70,0.70,smart精灵#1,,
235,235,小麒,麟,,,0.70,0.70,小麒麟,,
236,236,普拉,多,,,0.70,0.70,普拉多,,
237,237,雷,凌,,,0.70,0.70,雷凌,,
238,238,五菱之,光,,,0.70,0.70,五菱之光,,
239,239,荣威D,7,,,0.70,0.70,荣威D7,,
240,240,享界S,9,,,0.70,0.70,享界S9,,
241,241,纳米,06,,,0.70,0.70,纳米06,,
242,242,瑞虎,3x,,,0.70,0.70,瑞虎3x,,
243,243,奥迪A,5L,,,0.70,0.70,奥迪A5L,,
244,244,凌,渡,,,0.70,0.70,凌渡,,
245,245,荣威RX,5,,,0.70,0.70,荣威RX5,,
246,246,凡尔赛C5,X,,,0.70,0.70,凡尔赛C5 X,,
247,247,锐胜王牌M,7,,,0.70,0.70,锐胜王牌M7,,
248,248,银河M,9,,,0.70,0.70,银河M9,,
249,249,银河L,7,,,0.70,0.70,银河L7,,
250,250,极狐,阿尔法T,,,0.70,0.70,极狐 阿尔法T,,
251,251,哈弗大狗,PLUS 新能源,,,0.70,0.70,哈弗大狗 PLUS 新能源,,
252,252,菱,智,,,0.70,0.70,菱智,,
253,253,AION,V,,,0.70,0.70,AION V,,
254,254,海狮07,EV,,,0.70,0.70,海狮07 EV,,
255,255,威,朗,,,0.70,0.70,威朗,,
256,256,长安欧尚,520,,,0.70,0.70,长安欧尚520,,
257,257,传祺向往S,7,,,0.70,0.70,传祺向往S7,,
258,258,五菱缤果PLU,S,,,0.70,0.70,五菱缤果PLUS,,
259,259,奥德,赛,,,0.70,0.70,奥德赛,,
260,260,五菱星,光,,,0.70,0.70,五菱星光,,
261,261,阿维塔,12,,,0.70,0.70,阿维塔12,,
262,262,星海S,7,,,0.70,0.70,星海S7,,
263,263,奥迪A5L,Sportback,,,0.70,0.70,奥迪A5L Sportback,,
264,264,赛图,斯,,,0.70,0.70,赛图斯,,
265,265,宝马i,3,,,0.70,0.70,宝马i3,,
266,266,ID.4,CROZZ,,,0.70,0.70,ID.4 CROZZ,,
267,267,QQ冰淇,淋,,,0.70,0.70,QQ冰淇淋,,
268,268,蓝电E,5,,,0.70,0.70,蓝电E5,,
269,269,沃尔沃S,90,,,0.70,0.70,沃尔沃S90,,
270,270,狮铂拓,界,,,0.70,0.70,狮铂拓界,,
271,271,捷途山海T,2,,,0.70,0.70,捷途山海T2,,
272,272,极氪,009,,,0.70,0.70,极氪009,,
273,273,豹,8,,,0.70,0.70,豹8,,
274,274,丰田bZ,3,,,0.70,0.70,丰田bZ3,,
275,275,林肯,Z,,,0.70,0.70,林肯Z,,
276,276,小蚂,蚁,,,0.70,0.70,小蚂蚁,,
277,277,风云T,8,,,0.70,0.70,风云T8,,
278,278,五菱星光,S,,,0.70,0.70,五菱星光S,,
279,279,夏,,,,0.70,0.70,夏,,
280,280,212,T01,,,0.70,0.70,212 T01,,
281,281,传祺GS,4,,,0.70,0.70,传祺GS4,,
282,282,库斯,途,,,0.70,0.70,库斯途,,
283,283,捷途X,90,,,0.70,0.70,捷途X90,,
284,284,凯迪拉克XT,4,,,0.70,0.70,凯迪拉克XT4,,
285,285,奔腾B,70,,,0.70,0.70,奔腾B70,,
286,286,蔚来ET,5,,,0.70,0.70,蔚来ET5,,
287,287,红旗H,6,,,0.70,0.70,红旗H6,,
288,288,小鹏X,9,,,0.70,0.70,小鹏X9,,
289,289,极石,01,,,0.70,0.70,极石01,,
290,290,一汽,-大众CC,,,0.70,0.70,一汽-大众CC,,
291,291,秦新能,源,,,0.70,0.70,秦新能源,,
292,292,智界R,7,,,0.70,0.70,智界R7,,
293,293,型,格,,,0.70,0.70,型格,,
294,294,红旗HS,3,,,0.70,0.70,红旗HS3,,
295,295,宝骏云,海,,,0.70,0.70,宝骏云海,,
296,296,捷途大,圣,,,0.70,0.70,捷途大圣,,
297,297,小鹏G,9,,,0.70,0.70,小鹏G9,,
298,298,探险,者,,,0.70,0.70,探险者,,
299,299,长安启源Q,05经典,,,0.70,0.70,长安启源Q05经典,,
300,300,ID.4,X,,,0.70,0.70,ID.4 X,,
301,301,金海,狮,,,0.70,0.70,金海狮,,
302,302,五菱佳,辰,,,0.70,0.70,五菱佳辰,,
303,303,岚图知,音,,,0.70,0.70,岚图知音,,
304,304,蔚来EC,6,,,0.70,0.70,蔚来EC6,,
305,305,MG,7,,,0.70,0.70,MG7,,
306,306,别克E,5,,,0.70,0.70,别克E5,,
307,307,比亚迪e,7,,,0.70,0.70,比亚迪e7,,
308,308,索纳,塔,,,0.70,0.70,索纳塔,,
309,309,长安X7,PLUS,,,0.70,0.70,长安X7 PLUS,,
310,310,奔驰A,级,,,0.70,0.70,奔驰A级,,
311,311,奕,炫,,,0.70,0.70,奕炫,,
312,312,奔腾NA,T,,,0.70,0.70,奔腾NAT,,
313,313,宝马iX,1,,,0.70,0.70,宝马iX1,,
314,314,领克07,EM-P,,,0.70,0.70,领克07 EM-P,,
315,315,豪越,L,,,0.70,0.70,豪越L,,
316,316,领克,01,,,0.70,0.70,领克01,,
317,317,影,豹,,,0.70,0.70,影豹,,
318,318,曹操,60,,,0.70,0.70,曹操60,,
319,319,尊界S,800,,,0.70,0.70,尊界S800,,
320,320,海狮07,DM-i,,,0.70,0.70,海狮07 DM-i,,
321,321,星途凌,云,,,0.70,0.70,星途凌云,,
322,322,奥迪Q,2L,,,0.70,0.70,奥迪Q2L,,
323,323,捷豹XE,L,,,0.70,0.70,捷豹XEL,,
324,324,小鹏P,7,,,0.70,0.70,小鹏P7,,
325,325,哈弗H,9,,,0.70,0.70,哈弗H9,,
326,326,领,睿,,,0.70,0.70,领睿,,
327,327,荣威i6,MAX新能源,,,0.70,0.70,荣威i6 MAX新能源,,
328,328,长安CS,75,,,0.70,0.70,长安CS75,,
329,329,捷豹XF,L,,,0.70,0.70,捷豹XFL,,
330,330,风云A,8,,,0.70,0.70,风云A8,,
331,331,宋L,EV,,,0.70,0.70,宋L EV,,
332,332,欧诺,S,,,0.70,0.70,欧诺S,,
333,333,深蓝G,318,,,0.70,0.70,深蓝G318,,
334,334,长安之,星,,,0.70,0.70,长安之星,,
335,335,探岳,X,,,0.70,0.70,探岳X,,
336,336,腾势Z,9GT,,,0.70,0.70,腾势Z9GT,,
337,337,启辰VX,6,,,0.70,0.70,启辰VX6,,
338,338,威,霆,,,0.70,0.70,威霆,,
339,339,揽,境,,,0.70,0.70,揽境,,
340,340,凯翼昆,仑,,,0.70,0.70,凯翼昆仑,,
341,341,多,米,,,0.70,0.70,多米,,
342,342,缤,智,,,0.70,0.70,缤智,,
343,343,奥迪A,7L,,,0.70,0.70,奥迪A7L,,
344,344,奔驰V,级,,,0.70,0.70,奔驰V级,,
345,345,宝马,2系,,,0.70,0.70,宝马2系,,
346,346,星途揽,月,,,0.70,0.70,星途揽月,,
347,347,马自达3,昂克赛拉,,,0.70,0.70,马自达3 昂克赛拉,,
348,348,威,然,,,0.70,0.70,威然,,
349,349,哈弗H,5,,,0.70,0.70,哈弗H5,,
350,350,艾力,绅,,,0.70,0.70,艾力绅,,
351,351,MG,ES5,,,0.70,0.70,MG ES5,,
352,352,知豆彩,虹,,,0.70,0.70,知豆彩虹,,
353,353,吉利几何,A,,,0.70,0.70,吉利几何A,,
354,354,瑞风M,3,,,0.70,0.70,瑞风M3,,
355,355,红旗HS7,PHEV,,,0.70,0.70,红旗HS7 PHEV,,
356,356,昊铂H,T,,,0.70,0.70,昊铂HT,,
357,357,电动MINI,COOPER,,,0.70,0.70,电动MINI COOPER,,
358,358,风云X,3,,,0.70,0.70,风云X3,,
359,359,五菱星,驰,,,0.70,0.70,五菱星驰,,
360,360,瑞虎9,C-DM,,,0.70,0.70,瑞虎9 C-DM,,
361,361,红旗H,9,,,0.70,0.70,红旗H9,,
362,362,本田HR,-V,,,0.70,0.70,本田HR-V,,
363,363,奥迪Q,6,,,0.70,0.70,奥迪Q6,,
364,364,e:NP2,极湃2,,,0.70,0.70,e:NP2 极湃2,,
365,365,北汽新能源E,U,,,0.70,0.70,北汽新能源EU,,
366,366,福特烈,马,,,0.70,0.70,福特烈马,,
367,367,极氪,X,,,0.70,0.70,极氪X,,
368,368,大通G,50,,,0.70,0.70,大通G50,,
369,369,宝马i,5,,,0.70,0.70,宝马i5,,
370,370,速,派,,,0.70,0.70,速派,,
371,371,MG,4,,,0.70,0.70,MG4,,
372,372,新海狮E,V,,,0.70,0.70,新海狮EV,,
373,373,揽胜极,光,,,0.70,0.70,揽胜极光,,
374,374,炫界Pr,o,,,0.70,0.70,炫界Pro,,
375,375,起亚K,3,,,0.70,0.70,起亚K3,,
376,376,本田e,:NS1,,,0.70,0.70,本田e:NS1,,
377,377,领克09,EM-P,,,0.70,0.70,领克09 EM-P,,
378,378,沃尔沃XC,60插电式混动,,,0.70,0.70,沃尔沃XC60插电式混动,,
379,379,锐,际,,,0.70,0.70,锐际,,
380,380,零跑C,01,,,0.70,0.70,零跑C01,,
381,381,smart精灵,#5,,,0.70,0.70,smart精灵#5,,
382,382,荣威D5X,DMH,,,0.70,0.70,荣威D5X DMH,,
383,383,银河L,6,,,0.70,0.70,银河L6,,
384,384,探,陆,,,0.70,0.70,探陆,,
385,385,领克,09,,,0.70,0.70,领克09,,
386,386,冠,道,,,0.70,0.70,冠道,,
387,387,凌宝BO,X,,,0.70,0.70,凌宝BOX,,
388,388,世,纪,,,0.70,0.70,世纪,,
389,389,坦克,700新能源,,,0.70,0.70,坦克700新能源,,
390,390,冒险,家,,,0.70,0.70,冒险家,,
391,391,海马,8S,,,0.70,0.70,海马8S,,
392,392,红旗天工,06,,,0.70,0.70,红旗天工06,,
393,393,福瑞,迪,,,0.70,0.70,福瑞迪,,
394,394,缤,瑞,,,0.70,0.70,缤瑞,,
395,395,智界S,7,,,0.70,0.70,智界S7,,
396,396,捷达VA,7,,,0.70,0.70,捷达VA7,,
397,397,启辰大,V,,,0.70,0.70,启辰大V,,
398,398,微蓝,6,,,0.70,0.70,微蓝6,,
399,399,比亚迪e,2,,,0.70,0.70,比亚迪e2,,
400,400,标致,408,,,0.70,0.70,标致408,,
401,401,岚图追,光,,,0.70,0.70,岚图追光,,
402,402,柯珞,克,,,0.70,0.70,柯珞克,,
403,403,坦克,400,,,0.70,0.70,坦克400,,
404,404,北京现代ix,35,,,0.70,0.70,北京现代ix35,,
405,405,菱智新能,源,,,0.70,0.70,菱智新能源,,
406,406,悦意,07,,,0.70,0.70,悦意07,,
407,407,蔚来ET,7,,,0.70,0.70,蔚来ET7,,
408,408,smart精灵,#3,,,0.70,0.70,smart精灵#3,,
409,409,瑞虎7,PLUS新能源,,,0.70,0.70,瑞虎7 PLUS新能源,,
410,410,宝骏悦,也,,,0.70,0.70,宝骏悦也,,
411,411,海,豹,,,0.70,0.70,海豹,,
412,412,大通G,10,,,0.70,0.70,大通G10,,
413,413,马自达CX,-50行也,,,0.70,0.70,马自达CX-50行也,,
414,414,SWM斯威G,01,,,0.70,0.70,SWM斯威G01,,
415,415,星途瑶,光,,,0.70,0.70,星途瑶光,,
416,416,e爱丽,舍,,,0.70,0.70,e爱丽舍,,
417,417,本田XR,-V,,,0.70,0.70,本田XR-V,,
418,418,星海V,9,,,0.70,0.70,星海V9,,
419,419,马自达CX,-30,,,0.70,0.70,马自达CX-30,,
420,420,仰望U,7,,,0.70,0.70,仰望U7,,
421,421,本田UR,-V,,,0.70,0.70,本田UR-V,,
422,422,极狐,阿尔法S,,,0.70,0.70,极狐 阿尔法S,,
423,423,奥迪Q5L,Sportback,,,0.70,0.70,奥迪Q5L Sportback,,
424,424,捷达VS,8,,,0.70,0.70,捷达VS8,,
425,425,阿维塔,11,,,0.70,0.70,阿维塔11,,
426,426,传祺E,9,,,0.70,0.70,传祺E9,,
427,427,长安启源E,07,,,0.70,0.70,长安启源E07,,
