rank_seq,rank,brand,model,count,series_url,brand_conf,series_conf,title_raw,brand_ja,model_ja
524,524,长安CS,35PLUS,,,0.70,0.70,长安CS35PLUS,,
525,525,奔驰GL,A,,,0.70,0.70,奔驰GLA,,
526,526,大蚂,蚁,,,0.70,0.70,大蚂蚁,,
527,527,北京越野BJ,60,,,0.70,0.70,北京越野BJ60,,
528,528,睿蓝蓝气,球,,,0.70,0.70,睿蓝蓝气球,,
529,529,起亚K,5,,,0.70,0.70,起亚K5,,
530,530,领克06,EM-P,,,0.70,0.70,领克06 EM-P,,
531,531,柯迪亚,克,,,0.70,0.70,柯迪亚克,,
532,532,艾瑞泽,e,,,0.70,0.70,艾瑞泽e,,
533,533,蔚来ES,8,,,0.70,0.70,蔚来ES8,,
534,534,枫叶,80v,,,0.70,0.70,枫叶80v,,
535,535,宝骏享,境,,,0.70,0.70,宝骏享境,,
536,536,睿蓝,7,,,0.70,0.70,睿蓝7,,
537,537,凯迪拉克CT,6,,,0.70,0.70,凯迪拉克CT6,,
538,538,嘉,华,,,0.70,0.70,嘉华,,
539,539,示界,06,,,0.70,0.70,示界06,,
540,540,吉利几何E萤火,虫,,,0.70,0.70,吉利几何E萤火虫,,
541,541,标致,4008,,,0.70,0.70,标致4008,,
542,542,探界,者,,,0.70,0.70,探界者,,
543,543,五菱星,辰,,,0.70,0.70,五菱星辰,,
544,544,红旗HS,7,,,0.70,0.70,红旗HS7,,
545,545,东风本田S,7,,,0.70,0.70,东风本田S7,,
546,546,星纪元,ET,,,0.70,0.70,星纪元 ET,,
547,547,荣威RX,5新能源,,,0.70,0.70,荣威RX5新能源,,
548,548,凌,尚,,,0.70,0.70,凌尚,,
549,549,逸动新能,源,,,0.70,0.70,逸动新能源,,
550,550,星纪元,ES,,,0.70,0.70,星纪元 ES,,
551,551,启辰,星,,,0.70,0.70,启辰星,,
552,552,花仙,子,,,0.70,0.70,花仙子,,
553,553,轩度E,V,,,0.70,0.70,轩度EV,,
554,554,电动MINI,ACEMAN,,,0.70,0.70,电动MINI ACEMAN,,
555,555,昂科,旗,,,0.70,0.70,昂科旗,,
556,556,大家,9,,,0.70,0.70,大家9,,
557,557,影,酷,,,0.70,0.70,影酷,,
558,558,标致,408X,,,0.70,0.70,标致408X,,
559,559,仰望U,8,,,0.70,0.70,仰望U8,,
560,560,江淮QX,PHEV,,,0.70,0.70,江淮QX PHEV,,
561,561,魏牌,摩卡新能源,,,0.70,0.70,魏牌 摩卡新能源,,
562,562,SWM斯威G,05,,,0.70,0.70,SWM斯威G05,,
563,563,大众ID.7,VIZZION,,,0.70,0.70,大众ID.7 VIZZION,,
564,564,捷途X90,C-DM,,,0.70,0.70,捷途X90 C-DM,,
565,565,风行雷,霆,,,0.70,0.70,风行雷霆,,
566,566,探界者Plu,s,,,0.70,0.70,探界者Plus,,
567,567,飞凡R,7,,,0.70,0.70,飞凡R7,,
568,568,IQ傲,歌,,,0.70,0.70,IQ傲歌,,
569,569,捷豹E,-PACE,,,0.70,0.70,捷豹E-PACE,,
570,570,翼真L,380,,,0.70,0.70,翼真L380,,
571,571,锐程PLU,S,,,0.70,0.70,锐程PLUS,,
572,572,焕,驰,,,0.70,0.70,焕驰,,
573,573,风行T5,EVO,,,0.70,0.70,风行T5 EVO,,
574,574,欧拉芭蕾,猫,,,0.70,0.70,欧拉芭蕾猫,,
575,575,索,奈,,,0.70,0.70,索奈,,
576,576,风光,330,,,0.70,0.70,风光330,,
577,577,途,安,,,0.70,0.70,途安,,
578,578,星途追,风,,,0.70,0.70,星途追风,,
579,579,欧拉闪电,猫,,,0.70,0.70,欧拉闪电猫,,
580,580,别克E,4,,,0.70,0.70,别克E4,,
581,581,瑞风RF,8,,,0.70,0.70,瑞风RF8,,
582,582,英菲尼迪QX,50,,,0.70,0.70,英菲尼迪QX50,,
583,583,途睿,欧,,,0.70,0.70,途睿欧,,
584,584,大通G,90,,,0.70,0.70,大通G90,,
585,585,合创V,09,,,0.70,0.70,合创V09,,
586,586,元,宝,,,0.70,0.70,元宝,,
587,587,飞,度,,,0.70,0.70,飞度,,
588,588,荣威Ei,5,,,0.70,0.70,荣威Ei5,,
589,589,风行游,艇,,,0.70,0.70,风行游艇,,
590,590,VGV,U70,,,0.70,0.70,VGV U70,,
591,591,比亚迪D,1,,,0.70,0.70,比亚迪D1,,
592,592,奔腾M,9,,,0.70,0.70,奔腾M9,,
593,593,星瑞,L,,,0.70,0.70,星瑞L,,
594,594,本田CR,-V新能源,,,0.70,0.70,本田CR-V新能源,,
595,595,炫界Pro,EV,,,0.70,0.70,炫界Pro EV,,
596,596,风行T,5,,,0.70,0.70,风行T5,,
597,597,风光E,380,,,0.70,0.70,风光E380,,
598,598,MG,Cyberster,,,0.70,0.70,MG Cyberster,,
599,599,长安UNI-K,智电iDD,,,0.70,0.70,长安UNI-K 智电iDD,,
600,600,护卫舰,07,,,0.70,0.70,护卫舰07,,
601,601,LIF,E,,,0.70,0.70,LIFE,,
602,602,长安欧尚Z,6,,,0.70,0.70,长安欧尚Z6,,
603,603,星途揽月C,-DM,,,0.70,0.70,星途揽月C-DM,,
604,604,江淮X8,E家,,,0.70,0.70,江淮X8 E家,,
605,605,海马INJO,Y,,,0.70,0.70,海马INJOY,,
606,606,风光S,560,,,0.70,0.70,风光S560,,
607,607,风光,500,,,0.70,0.70,风光500,,
608,608,迈锐宝X,L,,,0.70,0.70,迈锐宝XL,,
609,609,途观L新能,源,,,0.70,0.70,途观L新能源,,
610,610,长安之星,9EV,,,0.70,0.70,长安之星9EV,,
611,611,雷丁芒,果,,,0.70,0.70,雷丁芒果,,
612,612,宝骏KiWi,EV,,,0.70,0.70,宝骏KiWi EV,,
613,613,领克,05,,,0.70,0.70,领克05,,
614,614,智己L,7,,,0.70,0.70,智己L7,,
615,615,SWM斯威大,虎,,,0.70,0.70,SWM斯威大虎,,
616,616,大家,5,,,0.70,0.70,大家5,,
617,617,英仕派新能,源,,,0.70,0.70,英仕派新能源,,
618,618,畅,巡,,,0.70,0.70,畅巡,,
619,619,长安欧尚Z,6新能源,,,0.70,0.70,长安欧尚Z6新能源,,
620,620,绅宝D,50,,,0.70,0.70,绅宝D50,,
621,621,宝马X,2,,,0.70,0.70,宝马X2,,
622,622,领,地,,,0.70,0.70,领地,,
623,623,凌,派,,,0.70,0.70,凌派,,
624,624,Polestar,4,,,0.70,0.70,Polestar 4,,
625,625,红旗国,雅,,,0.70,0.70,红旗国雅,,
626,626,标致,2008,,,0.70,0.70,标致2008,,
627,627,ID.6,CROZZ,,,0.70,0.70,ID.6 CROZZ,,
628,628,捷途X70,C-DM,,,0.70,0.70,捷途X70 C-DM,,
629,629,红旗国,礼,,,0.70,0.70,红旗国礼,,
630,630,MG,ONE,,,0.70,0.70,MG ONE,,
631,631,宝马,1系,,,0.70,0.70,宝马1系,,
632,632,劲,客,,,0.70,0.70,劲客,,
633,633,奔腾T,77,,,0.70,0.70,奔腾T77,,
634,634,昂科拉G,X,,,0.70,0.70,昂科拉GX,,
635,635,红旗E,-HS9,,,0.70,0.70,红旗E-HS9,,
636,636,亚洲,狮,,,0.70,0.70,亚洲狮,,
637,637,威兰达新能,源,,,0.70,0.70,威兰达新能源,,
638,638,红旗国,耀,,,0.70,0.70,红旗国耀,,
639,639,ARIYA艾睿,雅,,,0.70,0.70,ARIYA艾睿雅,,
640,640,昂,扬,,,0.70,0.70,昂扬,,
641,641,北京越野BJ,80,,,0.70,0.70,北京越野BJ80,,
642,642,昂科,拉,,,0.70,0.70,昂科拉,,
643,643,长安CS,95,,,0.70,0.70,长安CS95,,
644,644,奕泽IZO,A,,,0.70,0.70,奕泽IZOA,,
645,645,菲斯,塔,,,0.70,0.70,菲斯塔,,
646,646,微蓝,7,,,0.70,0.70,微蓝7,,
647,647,凯迪拉克CT,4,,,0.70,0.70,凯迪拉克CT4,,
648,648,e:NP1,极湃1,,,0.70,0.70,e:NP1 极湃1,,
649,649,仰望U,9,,,0.70,0.70,仰望U9,,
650,650,大通G,70,,,0.70,0.70,大通G70,,
651,651,长安启源A,06,,,0.70,0.70,长安启源A06,,
